frame,timestamp,status,cap_method,win_w,win_h,raw_exp,pct,conf,reason,n_runs,widths,track_exp,track_pct,track_reason
1,20:17:59.336,ok,mss,1920,1080,00414588371835,51.163,0.943,ok,27,"[43, 42, 18, 41, 17, 41, 18, 43, 44, 43, 18, 42, 41, 17, 18, 44, 43, 42, 17, 42, 17, 10, 17, 43, 43, 58, 17]",414588371835,51.163,first
2,20:18:00.495,ok,mss,1920,1080,00415686466733,51.163,0.950,ok,27,"[43, 42, 18, 41, 17, 42, 18, 43, 44, 43, 18, 41, 43, 43, 18, 41, 43, 42, 17, 42, 17, 10, 17, 43, 43, 58, 17]",415686466733,51.163,ok
3,20:18:01.549,ok,mss,1920,1080,00416484538667,51.163,0.953,ok,27,"[43, 42, 18, 41, 17, 42, 18, 41, 44, 41, 18, 43, 43, 43, 18, 43, 43, 41, 17, 42, 17, 10, 17, 43, 43, 58, 17]",416484538667,51.163,ok
4,20:18:02.588,ok,mss,1920,1080,00417582633565,51.163,0.953,ok,27,"[43, 42, 18, 41, 17, 41, 18, 43, 44, 42, 18, 43, 43, 42, 18, 43, 44, 42, 17, 42, 17, 10, 17, 43, 43, 58, 17]",417582633565,51.163,ok
5,20:18:03.638,fail,mss,1920,1080,,,0.000,too_few_runs(3),3,"[192, 778, 224]",417582633565,51.163,no_exp
6,20:18:04.686,ok,mss,1920,1080,00418380343808,51.164,0.951,ok,27,"[43, 42, 18, 41, 17, 43, 18, 43, 44, 43, 18, 43, 41, 42, 18, 44, 44, 43, 17, 42, 17, 10, 17, 42, 41, 58, 17]",418380343808,51.164,ok
7,20:18:05.738,ok,mss,1920,1080,00419677278519,51.164,0.942,ok,27,"[43, 42, 18, 41, 17, 43, 18, 42, 41, 41, 18, 42, 42, 43, 18, 42, 18, 43, 17, 42, 17, 10, 17, 42, 41, 58, 17]",419677278519,51.164,ok
8,20:18:06.799,ok,mss,1920,1080,00420325881509,51.164,0.949,ok,27,"[43, 42, 18, 41, 43, 43, 18, 43, 43, 42, 18, 44, 44, 17, 18, 43, 44, 43, 17, 42, 17, 10, 17, 42, 41, 58, 17]",420325881509,51.164,ok
